,Address,Price,Beds,Baths,Area_Sqft,City,Zipcode,Parking_Size,In_Unit_Aminity_Count,Community_Aminity_Count
56,"4370 Hyde Cmn,Fremont, CA 94538",3890,4,3.5,1738.0,Fremont,94538,0,3,1
57,"37854 Taro Ter,Newark, CA 94560",3700,3,3,1540.0,Fremont,94560,0,2,0
58,"45128 Warm Springs Blvd,Fremont, CA 94539",4399,3,2,1770.0,Fremont,94539,0,6,3
59,"45188 Tom Blalock St #109,Fremont, CA 94539",4300,3,2,1891.0,Fremont,94539,0,2,3
60,"42111 Osgood Rd #311,Fremont, CA 94539",3690,3,2,1118.0,Fremont,94539,0,1,1
61,"36357 Perkins St,Fremont, CA 94536",4500,4,3,2160.0,Fremont,94536,0,4,0
62,"45258 Tom Blalock St #308,Fremont, CA 94539",3800,2,2,1265.0,Fremont,94539,0,3,4
63,"38891 Fremont Blvd,Fremont, CA 94536",2695,2,1,875.0,Fremont,94536,0,4,1
64,"Priya Living Warm Springs250 Franciscan Ct,Fremont, CA 94539",2595,1,1,650.0,Fremont,94539,0,0,0
65,"42824 Fontainebleau Park Ln,Fremont, CA 94538",3600,3,2,1600.0,Fremont,94538,0,3,0
66,"3695 Stevenson Blvd Unit C229,Fremont, CA 94538",2750,2,2,1040.0,Fremont,94538,0,3,3
67,"39867 Fremont Blvd,Fremont, CA 94538",2350,1,1,744.0,Fremont,94538,0,3,2
68,"38848 Bell St,Fremont, CA 94536",4000,3,2,1600.0,Fremont,94536,0,2,0
69,"4436 Gibraltar Dr,Fremont, CA 94536",3800,3,2,1630.0,Fremont,94536,0,7,0
70,"3655 Birchwood Ter #312,Fremont, CA 94536",2200,1,1,714.0,Fremont,94536,0,2,1
71,"1980 Barrymore Cmn Unit O,Fremont, CA 94538",2549,2,1,882.0,Fremont,94538,0,3,2
72,"161 Gable Dr,Fremont, CA 94539",3950,4,2,1822.0,Fremont,94539,0,2,0
73,"3880 Springfield Cmn,Fremont, CA 94555",3750,4,2,1898.0,Fremont,94555,0,3,0
74,"39993 Fremont Blvd #203,Fremont, CA 94538",2100,1,1,922.0,Fremont,94538,0,3,1
75,"1181 Casa Marcia Pl,Fremont, CA 94539",3850,3,2,1564.0,Fremont,94539,0,5,0
76,"4073 BECERRA Dr,Fremont, CA 94536",1641257,4,2,1476.0,Fremont,94536,0,0,0
77,"4764 Woodduck Cmn,Fremont, CA 94555",3795,3,2.5,1607.0,Fremont,94555,0,7,0
78,"93 King Ave,Fremont, CA 94536",4600,3,2.5,2132.0,Fremont,94536,0,5,1
79,"37625 CENTRAL COVE Ct,Fremont, CA 94536-6667",1633452,4,2.5,2014.0,Fremont,-6667,0,0,0
80,"4412 Crestwood St,Fremont, CA 94538",3600,4,2,1480.0,Fremont,94538,0,8,0
81,"38627 Cherry Ln #38,Fremont, CA 94536",3050,3,1.5,1199.0,Fremont,94536,0,1,1
82,"34113 Via Lucca,Fremont, CA 94555",3690,3,3.5,1617.0,Fremont,94555,0,4,0
83,"250 Franciscan Ct Unit 1-20,Fremont, CA 94539",2695,1,1,650.0,Fremont,94539,0,3,1
84,"41342 Roberts Ave Unit 10,Fremont, CA 94538",2500,2,1,855.0,Fremont,94538,0,2,1
85,"44899 Challenge Cmn #402,Fremont, CA 94538",4500,3,2,1528.0,Fremont,94538,0,6,0
